100  1934
0	2	47
0	3	12
0	4	93
0	5	57
0	8	83
0	12	93
0	16	25
0	17	24
0	18	10
0	22	69
0	27	21
0	29	30
0	30	84
0	35	23
0	40	52
0	41	73
0	43	43
0	45	42
0	48	93
0	49	3
0	51	30
0	52	68
0	53	12
0	54	47
0	55	25
0	57	63
0	58	66
0	59	6
0	62	60
0	67	44
0	71	87
0	72	77
0	73	10
0	78	12
0	80	27
0	82	29
0	83	70
0	84	90
0	86	20
0	89	34
0	90	10
0	91	58
0	92	67
0	93	58
0	94	11
0	95	14
0	99	53
1	5	2
1	8	96
1	9	60
1	17	87
1	20	65
1	24	26
1	27	39
1	28	28
1	30	46
1	33	27
1	34	48
1	35	41
1	41	9
1	42	39
1	44	50
1	47	65
1	53	54
1	54	34
1	57	66
1	64	66
1	66	99
1	71	73
1	72	56
1	73	84
1	74	74
1	75	84
1	76	72
1	78	77
1	83	16
1	88	28
1	91	92
1	92	7
1	99	35
2	4	3
2	5	47
2	7	17
2	10	97
2	12	100
2	14	23
2	19	14
2	22	64
2	24	18
2	25	65
2	27	11
2	28	7
2	30	42
2	31	77
2	32	25
2	33	36
2	35	29
2	37	50
2	38	18
2	39	77
2	40	67
2	41	8
2	42	79
2	47	34
2	51	90
2	52	79
2	55	3
2	59	56
2	60	29
2	61	96
2	65	59
2	67	49
2	70	30
2	72	23
2	74	56
2	79	65
2	82	14
2	83	81
2	88	6
2	89	78
2	94	50
2	97	18
2	99	37
3	4	69
3	6	95
3	10	78
3	12	46
3	14	94
3	16	39
3	18	21
3	20	98
3	23	95
3	24	73
3	26	100
3	29	69
3	30	37
3	31	88
3	32	80
3	33	33
3	38	39
3	39	47
3	41	53
3	42	63
3	45	36
3	46	82
3	48	8
3	51	76
3	54	22
3	56	95
3	58	11
3	61	73
3	63	46
3	64	26
3	67	40
3	72	36
3	76	41
3	79	99
3	80	32
3	81	45
3	84	17
3	89	83
3	92	88
3	93	19
4	9	53
4	10	4
4	12	50
4	13	14
4	14	38
4	17	31
4	18	3
4	20	52
4	22	80
4	26	32
4	27	98
4	28	3
4	34	2
4	37	82
4	39	97
4	40	18
4	41	67
4	44	70
4	46	95
4	49	83
4	52	42
4	53	63
4	54	59
4	55	80
4	65	54
4	68	61
4	71	8
4	72	94
4	73	88
4	74	19
4	76	100
4	77	79
4	79	32
4	80	70
4	85	19
4	86	94
4	88	24
4	93	95
4	96	91
4	97	46
4	98	67
5	7	35
5	9	55
5	10	100
5	13	57
5	15	100
5	19	46
5	22	37
5	24	6
5	29	26
5	36	25
5	37	60
5	43	35
5	44	42
5	45	47
5	50	8
5	51	18
5	52	35
5	53	81
5	58	54
5	59	69
5	60	74
5	62	99
5	64	2
5	67	20
5	70	38
5	72	55
5	75	27
5	78	60
5	81	31
5	82	84
5	87	72
5	88	9
5	92	11
5	97	77
5	98	14
6	9	46
6	11	18
6	12	77
6	13	47
6	22	13
6	23	45
6	24	76
6	26	48
6	27	58
6	28	7
6	31	79
6	34	23
6	36	25
6	39	100
6	40	43
6	44	74
6	47	99
6	48	62
6	49	71
6	50	56
6	56	77
6	59	42
6	60	73
6	62	70
6	65	15
6	69	53
6	77	96
6	78	12
6	80	8
6	81	61
6	83	43
6	84	9
6	86	38
6	87	24
6	92	55
6	95	63
6	96	81
6	97	30
6	99	91
7	9	39
7	10	29
7	12	100
7	13	8
